,shooting_method,calculated
0,1.2337005629,1.2337005501
1,4.934802265,4.9348022005
2,11.1033052016,11.1033049512
3,19.7392093692,19.7392088022
4,30.8425136075,30.8425137534
5,44.4132173222,44.4132198049
6,60.4513200025,60.4513269567
7,78.9568303441,78.9568352087
8,99.9297439846,99.929744561
