,Energies
0,0.0
1,1.2337005501361697
2,4.934802200544679
3,11.103304951225528
4,19.739208802178716
5,30.842513753404244
6,44.41321980490211
7,60.45132695667232
8,78.95683520871486
9,99.92974456102975
