Energies,Converted Energies,Calculated Energies
4.0284104124075795e+17,0.03069634297337331,4.02840995962831e+17
1.6113640278059182e+18,0.12278536144217034,1.611363983851324e+18
3.625568910838538e+18,0.27626705168350957,3.625568963665479e+18
6.445455634638102e+18,0.49114140945303164,6.445455935405296e+18
1.0071024298587374e+19,0.7674084423236676,1.0071024899070775e+19
