,Shooting Method,converted,Calculated
0,4.934802265,3.7603016407128073*10^(-19,1.2337005501361697
1,19.7392093692,1.5041206798462762*10^(-18,4.934802200544679
2,44.4132173222,3.3842712432538437*10^(-18,11.103304951225528
3,78.9568303441,6.016482175868131*10^(-18,19.739208802178716
